Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Q1/2023 30 Sep 2022,1981.54,6.52,-,-,19.77,0.00,-,-,-,-,-,LUXF
Y/E 2018 31 Dec 2018,1637.23,61.76,-,-,131.29,0.70,-,-,-,-,-,M-II
Y/E 2019 31 Dec 2019,1639.09,69.71,-,-,135.09,-14.64,-,-,-,-,-,M-II
Y/E 2020 31 Dec 2020,1823.96,230.72,-,-,131.60,16.56,-,-,-,-,-,M-II
Y/E 2021 31 Dec 2021,1836.41,222.09,-,-,132.46,14.92,-,-,-,-,-,M-II
9M/2022 30 Sep 2022,1852.01,225.54,-,-,101.18,5.48,-,-,-,-,-,M-II
Y/E 2018 31 Dec 2018,1160.93,47.16,-,-,87.86,-3.02,-,-,-,-,-,M-PAT
Y/E 2019 31 Dec 2019,874.16,1.87,-,-,43.17,-218.99,-,-,-,-,-,M-PAT
Y/E 2020 31 Dec 2020,643.27,0.49,-,-,3.79,-227.01,-,-,-,-,-,M-PAT
Y/E 2021 31 Dec 2021,557.87,0.20,-,-,0.20,-83.99,-,-,-,-,-,M-PAT
9M/2022 30 Sep 2022,654.34,0.20,-,-,0.31,96.99,-,-,-,-,-,M-PAT
Y/E 2018 31 Dec 2018,671.20,15.77,-,-,38.00,-43.21,-,-,-,-,-,M-STOR
Y/E 2019 31 Dec 2019,668.83,12.28,-,-,29.35,2.41,-,-,-,-,-,M-STOR
Y/E 2020 31 Dec 2020,665.05,8.83,-,-,28.50,-2.00,-,-,-,-,-,M-STOR
Y/E 2021 31 Dec 2021,640.38,8.75,-,-,25.56,-23.00,-,-,-,-,-,M-STOR
9M/2022 30 Sep 2022,641.78,8.62,-,-,22.85,-3.80,-,-,-,-,-,M-STOR
Y/E 2018 31 Dec 2018,2600.82,71.80,-,-,332.13,10.01,-,-,-,-,-,MIPF
Y/E 2019 31 Dec 2019,2579.06,71.78,-,-,314.89,-25.99,-,-,-,-,-,MIPF
Y/E 2020 31 Dec 2020,2582.19,66.96,-,-,284.13,-10.98,-,-,-,-,-,MIPF
Y/E 2021 31 Dec 2021,2477.08,60.33,-,-,233.56,-70.04,-,-,-,-,-,MIPF
9M/2022 30 Sep 2022,2433.41,63.50,-,-,181.74,-13.00,-,-,-,-,-,MIPF
Y/E 2018 31 Dec 2018,1248.18,464.11,-,-,91.08,44.83,-,-,-,-,-,MIT
Y/E 2019 31 Dec 2019,1191.01,457.66,-,-,83.21,-25.98,-,-,-,-,-,MIT
Y/E 2020 31 Dec 2020,1176.42,463.07,-,-,84.29,-42.87,-,-,-,-,-,MIT
Y/E 2021 31 Dec 2021,1382.20,505.42,-,-,92.36,84.32,-,-,-,-,-,MIT
9M/2022 30 Sep 2022,851.71,475.04,-,-,68.20,-427.73,-,-,-,-,-,MIT
Y/E 2018 31 Dec 2018,4091.85,120.87,-,-,403.12,-6.52,-,-,-,-,-,MJLF
Y/E 2019 31 Dec 2019,4190.96,157.72,-,-,415.77,61.05,-,-,-,-,-,MJLF
Y/E 2020 31 Dec 2020,4210.55,207.69,-,-,296.26,47.61,-,-,-,-,-,MJLF
Y/E 2021 31 Dec 2021,4253.83,178.78,-,-,315.70,49.04,-,-,-,-,-,MJLF
9M/2022 30 Sep 2022,3641.52,169.20,-,-,249.06,-613.81,-,-,-,-,-,MJLF
Y/E 2018 31 Dec 2018,720.37,6.79,-,-,22.22,-2.51,-,-,-,-,-,MNIT
Y/E 2019 31 Dec 2019,712.09,11.15,-,-,25.99,-17.29,-,-,-,-,-,MNIT
Y/E 2020 31 Dec 2020,710.48,8.57,-,-,27.60,-3.92,-,-,-,-,-,MNIT
Y/E 2021 31 Dec 2021,701.89,7.74,-,-,24.83,-3.56,-,-,-,-,-,MNIT
9M/2022 30 Sep 2022,706.90,10.40,-,-,19.66,0.64,-,-,-,-,-,MNIT
Y/E 2018 31 Dec 2018,1028.77,15.40,-,-,48.91,6.71,-,-,-,-,-,MNIT2
Y/E 2019 31 Dec 2019,1006.29,13.35,-,-,44.53,-1.91,-,-,-,-,-,MNIT2
Y/E 2020 31 Dec 2020,952.98,11.43,-,-,34.43,-45.43,-,-,-,-,-,MNIT2
Y/E 2021 31 Dec 2021,905.67,14.09,-,-,29.57,3.38,-,-,-,-,-,MNIT2
9M/2022 30 Sep 2022,926.02,28.49,-,-,28.77,2.75,-,-,-,-,-,MNIT2
Y/E 2018 31 Dec 2018,1081.79,12.11,-,-,29.09,-6.71,-,-,-,-,-,MNRF
Y/E 2019 31 Dec 2019,935.21,10.94,-,-,30.34,-44.26,-,-,-,-,-,MNRF
Y/E 2020 31 Dec 2020,918.27,7.07,-,-,26.02,-10.32,-,-,-,-,-,MNRF
Y/E 2021 31 Dec 2021,866.68,5.20,-,-,23.28,-0.96,-,-,-,-,-,MNRF
9M/2022 30 Sep 2022,870.28,6.78,-,-,17.16,0.88,-,-,-,-,-,MNRF
Y/E 2018 31 Dec 2018,6249.24,838.53,-,-,981.84,-77.77,-,-,-,-,-,POPF
Y/E 2019 31 Dec 2019,6208.43,805.64,-,-,1019.70,-139.73,-,-,-,-,-,POPF
Y/E 2020 31 Dec 2020,6301.96,817.64,-,-,984.18,-67.46,-,-,-,-,-,POPF
Y/E 2021 31 Dec 2021,6100.77,757.04,-,-,907.79,-253.02,-,-,-,-,-,POPF
9M/2022 30 Sep 2022,5976.13,695.59,-,-,715.81,-184.19,-,-,-,-,-,POPF
Y/E 2018 31 Dec 2018,2481.10,58.24,-,-,199.87,7.56,-,-,-,-,-,PPF
Y/E 2019 31 Dec 2019,2456.48,57.24,-,-,203.50,-37.27,-,-,-,-,-,PPF
Y/E 2020 31 Dec 2020,2482.74,59.63,-,-,205.69,15.82,-,-,-,-,-,PPF
Y/E 2021 31 Dec 2021,2497.22,56.72,-,-,204.46,6.09,-,-,-,-,-,PPF
9M/2022 30 Sep 2022,2505.63,55.80,-,-,151.54,-0.01,-,-,-,-,-,PPF
Y/E 2020 31 Dec 2020,3706.05,1241.50,-,-,398.80,1.08,-,-,-,-,-,PROSPECT
Y/E 2021 31 Dec 2021,3623.91,1228.46,-,-,443.20,-85.09,-,-,-,-,-,PROSPECT
9M/2022 30 Sep 2022,3544.48,1188.83,-,-,332.05,-76.47,-,-,-,-,-,PROSPECT
Y/E 2018 31 Dec 2018,4689.77,4.25,-,-,297.11,451.52,-,-,-,-,-,QHHR
Y/E 2019 31 Dec 2019,4780.30,5.26,-,-,301.98,50.54,-,-,-,-,-,QHHR
Y/E 2020 31 Dec 2020,4807.91,30.09,-,-,169.39,-42.15,-,-,-,-,-,QHHR
Y/E 2021 31 Dec 2021,4651.29,32.08,-,-,92.60,-187.43,-,-,-,-,-,QHHR
9M/2022 30 Sep 2022,4628.01,26.06,-,-,81.26,-48.41,-,-,-,-,-,QHHR
Y/E 2018 31 Dec 2018,1547.61,2.30,-,-,103.90,-37.62,-,-,-,-,-,QHOP
Y/E 2019 31 Dec 2019,1442.61,2.16,-,-,101.07,-67.72,-,-,-,-,-,QHOP
Y/E 2020 31 Dec 2020,1316.69,2.53,-,-,12.15,-78.79,-,-,-,-,-,QHOP
Y/E 2021 31 Dec 2021,1270.37,2.20,-,-,1.07,-40.15,-,-,-,-,-,QHOP
9M/2022 30 Sep 2022,1244.98,3.54,-,-,12.03,-33.52,-,-,-,-,-,QHOP
Y/E 2018 31 Dec 2018,9644.03,392.55,-,-,1207.45,72.91,-,-,-,-,-,QHPF
Y/E 2019 31 Dec 2019,9806.99,394.46,-,-,1250.77,19.22,-,-,-,-,-,QHPF
Y/E 2020 31 Dec 2020,10438.49,1015.62,-,-,1183.73,-84.18,-,-,-,-,-,QHPF
Y/E 2021 31 Dec 2021,9932.73,973.97,-,-,1070.33,-567.14,-,-,-,-,-,QHPF
9M/2022 30 Sep 2022,9915.43,951.79,-,-,755.35,-110.78,-,-,-,-,-,QHPF
Y/E 2018 31 Dec 2018,4946.63,1751.49,-,-,341.01,145.90,-,-,-,-,-,SHREIT
Y/E 2019 31 Dec 2019,4353.02,1540.24,-,-,335.11,-196.60,-,-,-,-,-,SHREIT
Y/E 2020 31 Dec 2020,4033.83,1729.22,-,-,99.79,-356.46,-,-,-,-,-,SHREIT
Y/E 2021 31 Dec 2021,4583.62,2122.75,-,-,125.45,127.49,-,-,-,-,-,SHREIT
9M/2022 30 Sep 2022,4881.91,2539.16,-,-,187.57,0.91,-,-,-,-,-,SHREIT
Y/E 2018 31 Dec 2018,1978.14,40.92,-,-,163.44,-99.55,-,-,-,-,-,SIRIP
Y/E 2019 31 Dec 2019,1979.45,40.70,-,-,160.69,-6.41,-,-,-,-,-,SIRIP
Y/E 2020 31 Dec 2020,1890.98,40.64,-,-,92.17,-82.51,-,-,-,-,-,SIRIP
Y/E 2021 31 Dec 2021,1882.83,31.74,-,-,73.21,3.73,-,-,-,-,-,SIRIP
9M/2022 30 Sep 2022,1897.42,32.87,-,-,57.09,10.31,-,-,-,-,-,SIRIP
Y/E 2019 31 Dec 2019,5563.68,1418.80,-,-,547.80,-409.33,-,-,-,-,-,SPRIME
Y/E 2020 31 Dec 2020,5771.12,1417.61,-,-,518.91,203.88,-,-,-,-,-,SPRIME
Y/E 2021 31 Dec 2021,5949.10,1413.82,-,-,487.93,164.69,-,-,-,-,-,SPRIME
9M/2022 30 Sep 2022,6218.44,1638.74,-,-,379.59,39.52,-,-,-,-,-,SPRIME
Y/E 2018 31 Dec 2018,4324.30,989.98,-,-,278.68,89.74,-,-,-,-,-,SRIPANWA
Y/E 2019 31 Dec 2019,4237.91,987.82,-,-,314.86,-123.57,-,-,-,-,-,SRIPANWA
Y/E 2020 31 Dec 2020,4355.43,988.68,-,-,315.41,-104.09,-,-,-,-,-,SRIPANWA
Y/E 2021 31 Dec 2021,4246.33,983.04,-,-,315.77,-89.00,-,-,-,-,-,SRIPANWA
9M/2022 30 Sep 2022,4389.12,983.24,-,-,236.45,30.00,-,-,-,-,-,SRIPANWA
Y/E 2019 30 Jun 2019,1948.17,42.22,-,-,142.48,10.00,-,-,-,-,-,SSPF
Y/E 2020 30 Jun 2020,1960.00,37.76,-,-,132.29,7.04,-,-,-,-,-,SSPF
Y/E 2021 30 Jun 2021,1928.91,33.72,-,-,113.74,-19.04,-,-,-,-,-,SSPF
Y/E 2022 30 Jun 2022,1880.56,16.47,-,-,60.13,5.00,-,-,-,-,-,SSPF
Q1/2023 30 Sep 2022,1859.70,20.74,-,-,10.56,-,-,-,-,-,-,SSPF
Y/E 2018 31 Dec 2018,912.42,279.48,-,-,67.65,1.14,-,-,-,-,-,SSTRT
Y/E 2019 31 Dec 2019,1545.29,320.39,-,-,68.76,-1.83,-,-,-,-,-,SSTRT
Y/E 2020 31 Dec 2020,1553.19,282.59,-,-,118.41,-3.31,-,-,-,-,-,SSTRT
Y/E 2021 31 Dec 2021,1554.59,282.14,-,-,118.11,-6.80,-,-,-,-,-,SSTRT
9M/2022 30 Sep 2022,1525.40,255.09,-,-,88.25,-5.29,-,-,-,-,-,SSTRT
Y/E 2019 31 Mar 2019,1004.13,32.00,-,-,75.03,7.87,-,-,-,-,-,TIF1
Y/E 2020 31 Mar 2020,1016.81,33.02,-,-,73.59,6.65,-,-,-,-,-,TIF1
Y/E 2021 31 Mar 2021,1014.47,31.22,-,-,77.70,-8.22,-,-,-,-,-,TIF1
Y/E 2022 31 Mar 2022,1008.98,29.15,-,-,62.70,-0.17,-,-,-,-,-,TIF1
6M/2023 30 Sep 2022,1007.89,28.76,-,-,31.46,-0.00,-,-,-,-,-,TIF1
Y/E 2018 31 Dec 2018,1930.20,92.35,-,-,148.88,0.01,-,-,-,-,-,TLHPF
Y/E 2019 31 Dec 2019,1925.46,80.36,-,-,149.12,-4.00,-,-,-,-,-,TLHPF
Y/E 2020 31 Dec 2020,1830.88,48.37,-,-,129.89,-75.01,-,-,-,-,-,TLHPF
Y/E 2021 31 Dec 2021,1919.45,76.24,-,-,143.37,-37.01,-,-,-,-,-,TLHPF
9M/2022 30 Sep 2022,1722.19,38.68,-,-,29.07,-44.99,-,-,-,-,-,TLHPF
Y/E 2018 31 Dec 2018,1058.27,0.88,-,-,33.65,-20.00,-,-,-,-,-,TNPF
Y/E 2019 31 Dec 2019,1056.13,0.74,-,-,43.52,5.00,-,-,-,-,-,TNPF
Y/E 2020 31 Dec 2020,874.25,0.90,-,-,24.56,-183.00,-,-,-,-,-,TNPF
Y/E 2021 31 Dec 2021,851.04,1.49,-,-,13.28,-7.00,-,-,-,-,-,TNPF
9M/2022 30 Sep 2022,848.33,0.68,-,-,1.80,-,-,-,-,-,-,TNPF
Y/E 2018 31 Dec 2018,8721.42,2561.30,-,-,932.19,307.99,-,-,-,-,-,TPRIME
Y/E 2019 31 Dec 2019,8971.97,2552.19,-,-,980.87,220.77,-,-,-,-,-,TPRIME
Y/E 2020 31 Dec 2020,9478.02,2639.09,-,-,924.03,371.16,-,-,-,-,-,TPRIME
Y/E 2021 31 Dec 2021,9528.02,2739.74,-,-,811.32,-54.63,-,-,-,-,-,TPRIME
9M/2022 30 Sep 2022,9486.62,2725.82,-,-,575.90,-33.78,-,-,-,-,-,TPRIME
Y/E 2018 31 Dec 2018,2304.70,175.31,-,-,576.43,-17.02,-,-,-,-,-,TTLPF
Y/E 2019 31 Dec 2019,2337.68,173.72,-,-,586.21,0.34,-,-,-,-,-,TTLPF
Y/E 2020 31 Dec 2020,2284.87,173.44,-,-,588.15,-88.02,-,-,-,-,-,TTLPF
Y/E 2021 31 Dec 2021,2264.02,163.53,-,-,537.63,-17.04,-,-,-,-,-,TTLPF
9M/2022 30 Sep 2022,2244.82,125.21,-,-,436.63,-15.01,-,-,-,-,-,TTLPF
Y/E 2018 31 Dec 2018,677.01,473.65,-,-,90.74,-34.09,-,-,-,-,-,TU-PF
Y/E 2019 31 Dec 2019,649.73,467.73,-,-,101.28,-47.90,-,-,-,-,-,TU-PF
Y/E 2020 31 Dec 2020,641.59,455.51,-,-,91.52,-18.48,-,-,-,-,-,TU-PF
Y/E 2021 31 Dec 2021,585.55,439.56,-,-,72.74,-49.58,-,-,-,-,-,TU-PF
9M/2022 30 Sep 2022,594.28,440.04,-,-,60.90,-2.55,-,-,-,-,-,TU-PF
Y/E 2018 31 Dec 2018,379.71,1.48,-,-,56.54,-12.00,-,-,-,-,-,URBNPF
Y/E 2019 31 Dec 2019,339.99,0.98,-,-,54.63,-38.00,-,-,-,-,-,URBNPF
Y/E 2020 31 Dec 2020,543.84,244.47,-,-,39.36,-67.85,-,-,-,-,-,URBNPF
Y/E 2021 31 Dec 2021,581.06,250.04,-,-,38.47,3.82,-,-,-,-,-,URBNPF
9M/2022 30 Sep 2022,569.43,255.94,-,-,28.87,-38.83,-,-,-,-,-,URBNPF
Y/E 2019 31 Mar 2019,2695.08,575.98,-,-,241.21,55.79,-,-,-,-,-,WHABT
Y/E 2020 31 Mar 2020,2739.52,586.60,-,-,241.31,36.14,-,-,-,-,-,WHABT
Y/E 2021 31 Mar 2021,2746.67,561.63,-,-,212.34,31.00,-,-,-,-,-,WHABT
Y/E 2022 31 Mar 2022,2787.13,557.37,-,-,218.68,36.46,-,-,-,-,-,WHABT
6M/2023 30 Sep 2022,2795.81,558.63,-,-,113.49,-,-,-,-,-,-,WHABT
Y/E 2018 31 Dec 2018,9691.37,3510.55,-,-,726.04,123.21,-,-,-,-,-,WHAIR
Y/E 2019 31 Dec 2019,9913.95,3529.81,-,-,767.94,212.36,-,-,-,-,-,WHAIR
Y/E 2020 31 Dec 2020,11488.59,4078.79,-,-,686.49,141.75,-,-,-,-,-,WHAIR
Y/E 2021 31 Dec 2021,11771.42,3979.33,-,-,764.30,327.16,-,-,-,-,-,WHAIR
9M/2022 30 Sep 2022,11757.60,3982.99,-,-,559.37,-1.23,-,-,-,-,-,WHAIR
Y/E 2018 31 Dec 2018,32651.32,10668.00,-,-,1979.93,163.32,-,-,-,-,-,WHART
Y/E 2019 31 Dec 2019,38154.23,10838.44,-,-,2263.81,366.62,-,-,-,-,-,WHART
Y/E 2020 31 Dec 2020,42595.00,12181.83,-,-,2555.96,447.58,-,-,-,-,-,WHART
Y/E 2021 31 Dec 2021,48454.53,14517.62,-,-,2574.50,249.37,-,-,-,-,-,WHART
9M/2022 30 Sep 2022,47870.28,14113.95,-,-,2336.50,-482.46,-,-,-,-,-,WHART
Y/E 2018 31 Dec 2018,2886.73,1185.33,1538.78,660.00,2480.49,-,221.46,0.34,11.18,15.49,9.05,APCS
Y/E 2019 31 Dec 2019,3134.73,1259.24,1708.94,660.00,2810.67,-,238.74,0.36,10.47,14.70,8.98,APCS
Y/E 2020 31 Dec 2020,3166.95,1376.45,1784.08,660.00,2138.09,-,14.07,0.02,1.72,0.81,0.41,APCS
Y/E 2021 31 Dec 2021,3560.48,1598.47,1955.50,660.00,2205.87,-,210.61,0.32,8.15,11.26,9.55,APCS
9M/2022 30 Sep 2022,4386.98,2176.86,1866.89,660.00,2075.47,-,-34.15,-0.05,0.71,-1.69,-1.25,APCS
Y/E 2018 31 Dec 2018,3910.29,122.0,3788.29,400.0,943.9,-5.21,-231.21,-0.14,-5.58,-5.92,-24.5,BJCHI
Y/E 2019 31 Dec 2019,4406.38,739.1,3667.28,399.92,2073.15,-143.46,47.21,0.03,1.45,1.27,2.28,BJCHI
Y/E 2020 31 Dec 2020,3818.16,552.36,3265.8,399.92,2011.39,23.44,-193.92,-0.12,-4.69,-5.59,-9.64,BJCHI
Y/E 2021 31 Dec 2021,-,-,-,-,1544.78,-,152.72,0.10,-,-,9.89,BJCHI
9M/2022 30 Sep 2022,4251.26,780.82,3470.44,399.92,1645.80,-,162.25,0.10,0.98,1.13,9.86,BJCHI
Y/E 2018 31 Dec 2018,2076.06,462.8,1613.26,538.11,1168.24,1.29,170.42,0.17,11.27,12.35,14.59,BKD
Y/E 2019 31 Dec 2019,1903.33,372.24,1531.09,538.11,756.59,-28.52,85.66,0.08,5.4,5.45,11.32,BKD
Y/E 2020 31 Dec 2020,1656.6,313.03,1343.57,538.11,444.04,-23.32,-89.82,-0.08,-5.76,-6.25,-20.23,BKD
Y/E 2021 31 Dec 2021,1872.76,436.76,1436.0,538.11,451.97,93.87,92.43,0.09,6.26,6.65,20.45,BKD
9M/2022 30 Sep 2022,1859.66,412.88,1446.78,538.11,555.51,-1.56,64.59,0.06,11.13,12.81,11.63,BKD
Y/E 2020 31 Dec 2020,4944.85,3885.42,1059.43,500.00,4131.38,-,86.89,0.17,2.33,8.20,2.10,CIVIL
Y/E 2021 31 Dec 2021,6526.31,5754.21,772.10,500.00,5064.13,-,192.67,0.39,4.14,21.04,3.80,CIVIL
9M/2022 30 Sep 2022,7865.87,6207.25,1658.62,700.00,4629.57,-,1.99,0.00,0.99,1.89,0.04,CIVIL
Y/E 2018 31 Dec 2018,83500.54,57671.82,25421.01,1693.9,30915.58,1917.62,2494.31,1.47,4.76,10.2,8.04,CK
Y/E 2019 31 Dec 2019,82585.59,54773.07,27392.67,1693.9,24748.82,1853.94,1777.78,1.05,3.79,6.73,7.24,CK
Y/E 2020 31 Dec 2020,82774.02,56503.38,25846.62,1693.9,18167.02,1131.81,612.16,0.37,2.34,2.3,3.45,CK
Y/E 2021 31 Dec 2021,83420.94,57312.98,25668.9,1693.9,13996.33,1510.81,905.7,0.55,2.84,3.52,6.67,CK
9M/2022 30 Sep 2022,82788.44,57722.36,24630.08,1693.9,15293.65,1323.19,992.33,0.6,3.06,4.34,6.54,CK
Y/E 2018 31 Dec 2018,5670.43,4210.72,1437.39,1027.90,7135.91,-,-423.07,-0.41,-6.63,-25.27,-5.93,CNT
Y/E 2019 31 Dec 2019,6721.45,4634.67,2065.61,1027.9,7252.91,30.72,73.09,0.07,1.72,4.17,0.97,CNT
Y/E 2020 31 Dec 2020,6360.86,4257.92,2081.23,1027.90,7546.61,-,75.47,0.07,1.61,3.64,1.01,CNT
Y/E 2021 31 Dec 2021,5551.45,3625.68,1905.48,1027.90,6206.03,-,-128.92,-0.13,-1.56,-6.47,-2.10,CNT
9M/2022 30 Sep 2022,6124.00,4244.77,1861.69,1027.90,4034.28,-,-11.25,-0.01,-1.10,-5.19,-0.35,CNT
Y/E 2018 31 Dec 2018,3578.01,1706.99,1999.39,8433.75,2186.12,-5.41,369.97,0.04,11.93,20.39,16.85,EMC
Y/E 2019 31 Dec 2019,3111.08,1235.56,2005.26,8433.75,1247.74,48.34,3.82,0.0,0.31,0.19,0.2,EMC
Y/E 2020 31 Dec 2020,2896.54,960.33,2064.35,8433.75,1464.38,-0.8,59.09,0.01,2.4,2.9,4.14,EMC
Y/E 2021 31 Dec 2021,2648.78,790.4,1987.41,8433.75,1097.38,2.77,-85.71,-0.01,-3.15,-4.23,-7.89,EMC
9M/2022 30 Sep 2022,2870.18,1133.06,1867.06,8433.78,527.91,-0.53,-121.61,-0.01,-8.93,-12.04,-23.21,EMC
Y/E 2018 31 Dec 2018,98014.74,81544.41,13803.99,5279.84,61531.11,-87.81,305.62,0.06,4.03,2.26,1.1,ITD
Y/E 2019 31 Dec 2019,103789.9,88107.74,13135.08,5279.87,62996.65,-52.07,-37.34,-0.01,3.28,-0.28,0.14,ITD
Y/E 2020 31 Dec 2020,107872.52,92428.88,13022.49,5279.87,54915.19,203.56,-1104.45,-0.21,1.7,-8.44,-2.05,ITD
Y/E 2021 31 Dec 2021,113237.9,97014.93,13394.88,5279.87,59698.1,529.06,-155.62,-0.03,2.96,-1.18,0.16,ITD
9M/2022 30 Sep 2022,118196.11,105044.56,10072.03,5279.87,49407.94,-800.39,-3213.45,-0.61,0.9,-22.05,-6.13,ITD
Y/E 2018 31 Dec 2018,13043.05,9086.4,3895.36,2585.48,10036.6,86.64,418.04,0.16,5.26,11.34,4.24,NWR
Y/E 2019 31 Dec 2019,13353.65,10029.54,3256.02,2585.48,7840.6,-12.9,-515.22,-0.2,-2.2,-14.41,-6.48,NWR
Y/E 2020 31 Dec 2020,14685.71,11604.89,2997.57,2585.48,9928.95,18.13,-240.93,-0.09,0.18,-7.71,-2.25,NWR
Y/E 2021 31 Dec 2021,17077.55,14730.09,2246.51,2585.48,11212.85,7.0,-768.34,-0.3,-3.14,-29.3,-6.67,NWR
9M/2022 30 Sep 2022,19395.93,16903.65,2373.15,2585.48,10007.0,-2.49,126.6,0.05,1.7,-1.06,1.47,NWR
Y/E 2018 31 Dec 2018,8636.1,6167.0,2469.1,1361.82,7971.97,5.54,223.73,0.16,4.29,9.35,2.81,PLE
Y/E 2019 31 Dec 2019,10597.36,8037.75,2559.61,1361.82,9607.6,36.53,221.04,0.16,4.28,8.79,2.3,PLE
Y/E 2020 31 Dec 2020,11851.0,9336.78,2513.43,1361.82,8772.99,13.73,-440.62,-0.32,-2.2,-17.37,-5.03,PLE
Y/E 2021 31 Dec 2021,13600.86,10852.48,2748.39,1361.82,7517.22,18.68,153.25,0.11,2.93,5.82,2.07,PLE
9M/2022 30 Sep 2022,13737.58,11175.11,2560.95,1361.82,5509.46,-24.46,-131.76,-0.1,1.64,0.57,-2.36,PLE
Y/E 2018 31 Dec 2018,5029.63,2765.99,2263.64,308.68,3920.06,-11.92,384.42,1.25,10.28,17.51,9.8,PREB
Y/E 2019 31 Dec 2019,5947.56,3742.71,2204.85,308.68,4330.84,37.53,271.79,0.88,6.47,12.16,6.28,PREB
Y/E 2020 31 Dec 2020,5935.51,3744.48,2191.03,308.68,4293.84,23.32,165.67,0.54,4.23,7.54,3.86,PREB
Y/E 2021 31 Dec 2021,6190.94,3881.75,2309.18,308.68,4593.49,14.94,241.62,0.78,5.98,10.74,5.26,PREB
9M/2022 30 Sep 2022,6278.46,3793.82,2484.65,308.68,4454.88,7.78,326.83,1.06,8.97,17.54,7.34,PREB
Y/E 2018 31 Dec 2018,1244.03,377.46,866.57,374.94,1445.13,-,217.79,0.29,24.69,26.82,15.07,PYLON
Y/E 2019 31 Dec 2019,1689.44,622.34,1067.09,374.94,1576.32,-,277.61,0.37,22.59,28.71,17.61,PYLON
Y/E 2020 31 Dec 2020,1320.79,274.26,1046.53,374.94,1424.86,1.7,182.54,0.24,14.58,17.27,12.81,PYLON
Y/E 2021 31 Dec 2021,1212.32,234.81,977.51,374.94,793.87,1.48,39.76,0.05,3.68,3.93,5.01,PYLON
9M/2022 30 Sep 2022,1305.09,255.83,1049.27,374.94,996.81,-,116.75,0.16,13.22,13.30,11.71,PYLON
Y/E 2019 31 Dec 2019,3730.54,3143.2,587.38,400.0,2354.52,11.75,130.72,32.68,6.11,22.26,5.55,RT
Y/E 2020 31 Dec 2020,4050.02,2661.36,1388.72,550.0,2862.99,1.04,238.15,0.28,9.34,24.1,8.32,RT
Y/E 2021 31 Dec 2021,3915.16,2578.59,1336.67,550.0,2489.95,4.09,41.6,0.04,2.49,3.05,1.67,RT
9M/2022 30 Sep 2022,4489.24,3239.03,1250.34,550.0,1691.1,4.86,-70.22,-0.06,-1.1,-6.5,-4.15,RT
Y/E 2018 31 Dec 2018,2993.10,1585.88,1398.78,336.23,2789.72,-,368.21,0.55,16.72,28.65,12.64,SEAFCO
Y/E 2019 31 Dec 2019,3167.82,1530.74,1623.01,369.85,3062.06,-,409.51,0.55,16.80,27.10,13.43,SEAFCO
Y/E 2020 31 Dec 2020,3077.69,1465.60,1605.43,369.85,2585.33,-,154.41,0.21,7.08,9.57,5.76,SEAFCO
Y/E 2021 31 Dec 2021,2713.00,1159.58,1552.75,369.85,1476.79,-,-56.64,-0.08,-1.71,-3.59,-4.03,SEAFCO
9M/2022 30 Sep 2022,2237.44,817.65,1417.30,369.85,579.25,-,-139.14,-0.19,-5.99,-10.76,-23.24,SEAFCO
Y/E 2018 31 Dec 2018,11986.76,9820.69,2166.07,1135.06,3624.10,-,-284.63,-0.25,-1.19,-12.00,-7.85,SQ
Y/E 2019 31 Dec 2019,11106.20,8941.27,2165.90,1138.51,4772.93,-,1.11,0.00,3.33,0.05,0.01,SQ
Y/E 2020 31 Dec 2020,10016.68,7604.41,2414.62,1141.41,4775.52,-,240.99,0.21,5.15,10.52,5.02,SQ
Y/E 2021 31 Dec 2021,9210.17,6551.81,2677.31,1149.16,4803.02,-,350.75,0.31,6.18,13.78,6.92,SQ
9M/2022 30 Sep 2022,8975.81,6175.62,2819.15,1149.16,3711.79,-,233.66,0.20,5.57,10.10,6.30,SQ
Y/E 2018 31 Dec 2018,1745.60,156.81,1565.14,309.88,819.58,-,-99.15,-0.32,-4.61,-6.02,-11.45,SRICHA
Y/E 2019 31 Dec 2019,1780.96,250.98,1500.79,309.88,926.33,-,-48.38,-0.16,-1.75,-3.16,-4.04,SRICHA
Y/E 2020 31 Dec 2020,2159.78,485.82,1644.21,309.88,1655.88,-,142.24,0.46,8.07,9.05,9.08,SRICHA
Y/E 2021 31 Dec 2021,2168.38,397.67,1733.03,309.88,2564.84,-,341.52,1.10,17.09,20.22,13.86,SRICHA
9M/2022 30 Sep 2022,1993.64,314.29,1655.48,309.88,1087.39,-,-4.05,-0.01,-1.53,-0.52,-0.58,SRICHA
Y/E 2018 31 Dec 2018,45575.41,34354.54,10961.06,1525.11,27656.97,343.94,1616.86,1.06,5.24,16.03,5.92,STEC
Y/E 2019 31 Dec 2019,49207.39,34559.59,14377.29,1525.11,33269.06,345.63,1483.64,0.97,3.95,11.71,4.49,STEC
Y/E 2020 31 Dec 2020,44033.27,29321.21,14432.86,1525.11,36006.07,321.03,1093.13,0.72,2.99,7.59,3.06,STEC
Y/E 2021 31 Dec 2021,46622.05,29255.37,17078.75,1525.11,27930.01,180.62,710.88,0.47,2.01,4.51,2.58,STEC
